  Training |   260 | Steps: 19 | Time:  694 | Loss:   3.92301 | Score:  0
  Training |   261 | Steps: 35 | Time: 1040 | Loss:   3.69036 | Score:  0
  Training |   262 | Steps: 10 | Time:  486 | Loss:   3.81023 | Score:  0
  Training |   263 | Steps:  9 | Time:  447 | Loss:   4.19782 | Score:  0
  Training |   264 | Steps: 14 | Time:  584 | Loss:   3.75909 | Score:  0
  Training |   265 | Steps: 30 | Time: 1056 | Loss:   3.44986 | Score:  0
  Training |   266 | Steps: 10 | Time:  544 | Loss:   3.38240 | Score:  0
  Training |   267 | Steps: 11 | Time:  542 | Loss:   4.10224 | Score:  0
  Training |   268 | Steps: 32 | Time:  942 | Loss:   3.64495 | Score:  0
  Training |   269 | Steps:  7 | Time:  454 | Loss:   3.28767 | Score:  0
  Training |   270 | Steps: 12 | Time:  486 | Loss:   3.81473 | Score:  1
  Training |   271 | Steps: 10 | Time:  454 | Loss:   3.38491 | Score:  0
  Training |   272 | Steps: 23 | Time:  742 | Loss:   3.85758 | Score:  1
  Training |   273 | Steps: 10 | Time:  489 | Loss:   3.86806 | Score:  0
  Training |   274 | Steps: 11 | Time:  492 | Loss:   4.30717 | Score:  0
  Training |   275 | Steps: 11 | Time:  469 | Loss:   3.82830 | Score:  0
  Training |   276 | Steps: 44 | Time: 1154 | Loss:   3.79228 | Score:  2
  Training |   277 | Steps: 57 | Time: 1372 | Loss:   3.90818 | Score:  1
  Training |   278 | Steps: 27 | Time:  857 | Loss:   4.14820 | Score:  0
  Training |   279 | Steps:  8 | Time:  452 | Loss:   4.11319 | Score:  0
  Training |   280 | Steps:  7 | Time:  443 | Loss:   3.60888 | Score:  0
  Training |   281 | Steps:  7 | Time:  455 | Loss:   3.85005 | Score:  0
  Training |   282 | Steps: 10 | Time:  456 | Loss:   4.10044 | Score:  0
  Training |   283 | Steps: 16 | Time:  627 | Loss:   3.87563 | Score:  0
  Training |   284 | Steps: 13 | Time:  510 | Loss:   3.84890 | Score:  0
  Training |   285 | Steps:  7 | Time:  429 | Loss:   3.56905 | Score:  0
  Training |   286 | Steps: 11 | Time:  514 | Loss:   4.13401 | Score:  0
  Training |   287 | Steps: 31 | Time:  910 | Loss:   3.79525 | Score:  0
  Training |   288 | Steps:  6 | Time:  381 | Loss:   3.62382 | Score:  0
  Training |   289 | Steps: 11 | Time:  514 | Loss:   3.61380 | Score:  0
  Training |   290 | Steps: 22 | Time:  695 | Loss:   3.68305 | Score:  0
  Training |   291 | Steps:  6 | Time:  452 | Loss:   3.87502 | Score:  1
  Training |   292 | Steps: 21 | Time:  675 | Loss:   3.69407 | Score:  0
  Training |   293 | Steps: 15 | Time:  559 | Loss:   4.06852 | Score:  0
  Training |   294 | Steps: 19 | Time:  621 | Loss:   4.07875 | Score:  0
  Training |   295 | Steps:  7 | Time:  449 | Loss:   3.54634 | Score:  0
  Training |   296 | Steps: 12 | Time:  521 | Loss:   3.66422 | Score:  0
  Training |   297 | Steps: 14 | Time:  563 | Loss:   3.55971 | Score:  0
