  Training |   237 | Steps:  7 | Time:  420 | Loss:   0.42039 | Score:  0
  Training |   238 | Steps: 11 | Time:  477 | Loss:   0.53833 | Score:  0
  Training |   239 | Steps: 15 | Time:  574 | Loss:   0.56234 | Score:  0
  Training |   240 | Steps:  8 | Time:  402 | Loss:   0.43584 | Score:  0
  Training |   241 | Steps:  7 | Time:  410 | Loss:   0.86027 | Score:  0
  Training |   242 | Steps:  9 | Time:  445 | Loss:   0.67244 | Score:  1
  Training |   243 | Steps: 12 | Time:  546 | Loss:   0.61002 | Score:  1
  Training |   244 | Steps: 15 | Time:  528 | Loss:   0.48410 | Score:  0
  Training |   245 | Steps:  6 | Time:  396 | Loss:   0.56506 | Score:  0
  Training |   246 | Steps: 10 | Time:  473 | Loss:   0.63598 | Score:  0
  Training |   247 | Steps:  7 | Time:  380 | Loss:   0.54793 | Score:  0
  Training |   248 | Steps:  8 | Time:  408 | Loss:   0.69142 | Score:  0
  Training |   249 | Steps: 13 | Time:  506 | Loss:   0.73535 | Score:  0
  Training |   250 | Steps:  6 | Time:  388 | Loss:   0.52183 | Score:  0
  Training |   251 | Steps: 14 | Time:  528 | Loss:   0.61899 | Score:  0
  Training |   252 | Steps: 12 | Time:  471 | Loss:   0.74294 | Score:  0
  Training |   253 | Steps: 42 | Time:  887 | Loss:   0.57223 | Score:  1
  Training |   254 | Steps: 15 | Time:  532 | Loss:   0.64927 | Score:  0
  Training |   255 | Steps: 13 | Time:  467 | Loss:   0.58795 | Score:  0
  Training |   256 | Steps:  9 | Time:  415 | Loss:   0.43771 | Score:  0
  Training |   257 | Steps:  7 | Time:  385 | Loss:   0.80924 | Score:  0
  Training |   258 | Steps: 15 | Time:  528 | Loss:   0.71559 | Score:  0
  Training |   259 | Steps: 12 | Time:  424 | Loss:   0.91466 | Score:  0
  Training |   260 | Steps:  6 | Time:  379 | Loss:   0.57635 | Score:  0
  Training |   261 | Steps: 15 | Time:  470 | Loss:   0.62976 | Score:  0
  Training |   262 | Steps: 18 | Time:  534 | Loss:   0.50181 | Score:  0
  Training |   263 | Steps: 13 | Time:  454 | Loss:   0.70575 | Score:  1
  Training |   264 | Steps:  6 | Time:  378 | Loss:   0.76884 | Score:  0
  Training |   265 | Steps: 16 | Time:  517 | Loss:   0.69455 | Score:  1
  Training |   266 | Steps:  8 | Time:  429 | Loss:   0.54462 | Score:  0
  Training |   267 | Steps:  6 | Time:  363 | Loss:   0.54894 | Score:  0
  Training |   268 | Steps:  9 | Time:  405 | Loss:   0.65449 | Score:  0
  Training |   269 | Steps:  6 | Time:  355 | Loss:   0.64989 | Score:  0
  Training |   270 | Steps:  8 | Time:  425 | Loss:   0.62287 | Score:  0
  Training |   271 | Steps: 10 | Time:  419 | Loss:   0.49159 | Score:  0
  Training |   272 | Steps: 28 | Time:  665 | Loss:   0.50371 | Score:  0
  Training |   273 | Steps: 16 | Time:  524 | Loss:   0.68795 | Score:  0
  Training |   274 | Steps:  8 | Time:  423 | Loss:   0.70329 | Score:  0
  Training |   275 | Steps:  9 | Time:  443 | Loss:   0.49223 | Score:  0
  Training |   276 | Steps:  7 | Time:  371 | Loss:   0.64623 | Score:  1
  Training |   277 | Steps:  9 | Time:  443 | Loss:   0.67382 | Score:  0
  Training |   278 | Steps:  7 | Time:  372 | Loss:   0.63218 | Score:  0
  Training |   279 | Steps:  6 | Time:  391 | Loss:   0.55814 | Score:  0
  Training |   280 | Steps:  6 | Time:  336 | Loss:   0.62390 | Score:  0
  Training |   281 | Steps: 27 | Time:  740 | Loss:   0.65098 | Score:  1
  Training |   282 | Steps: 20 | Time:  560 | Loss:   0.64549 | Score:  0
  Training |   283 | Steps:  9 | Time:  406 | Loss:   0.52269 | Score:  1
  Training |   284 | Steps: 23 | Time:  652 | Loss:   0.62771 | Score:  0
  Training |   285 | Steps: 12 | Time:  488 | Loss:   0.58820 | Score:  0
  Training |   286 | Steps: 17 | Time:  546 | Loss:   0.72859 | Score:  0
  Training |   287 | Steps: 11 | Time:  481 | Loss:   0.63794 | Score:  0
  Training |   288 | Steps: 28 | Time:  712 | Loss:   0.58311 | Score:  0
  Training |   289 | Steps:  8 | Time:  394 | Loss:   0.88203 | Score:  0
  Training |   290 | Steps:  6 | Time:  380 | Loss:   0.54203 | Score:  0
  Training |   291 | Steps: 31 | Time:  780 | Loss:   0.64242 | Score:  0
  Training |   292 | Steps: 48 | Time:  989 | Loss:   0.69559 | Score:  2
  Training |   293 | Steps:  6 | Time:  353 | Loss:   0.38426 | Score:  0
  Training |   294 | Steps: 55 | Time: 1096 | Loss:   0.64598 | Score:  1
  Training |   295 | Steps:  6 | Time:  403 | Loss:   0.41544 | Score:  0
  Training |   296 | Steps: 20 | Time:  594 | Loss:   0.71370 | Score:  0
  Training |   297 | Steps:  6 | Time:  356 | Loss:   0.56855 | Score:  0
  Training |   298 | Steps: 22 | Time:  623 | Loss:   0.61629 | Score:  0
  Training |   299 | Steps:  6 | Time:  401 | Loss:   0.48198 | Score:  0
  Training |   300 | Steps: 22 | Time:  575 | Loss:   0.51670 | Score:  0
  Training |   301 | Steps: 16 | Time:  530 | Loss:   0.55852 | Score:  0
  Training |   302 | Steps:  8 | Time:  364 | Loss:   0.65709 | Score:  0
  Training |   303 | Steps:  6 | Time:  396 | Loss:   0.68357 | Score:  0
  Training |   304 | Steps: 24 | Time:  646 | Loss:   0.56574 | Score:  0
  Training |   305 | Steps:  9 | Time:  392 | Loss:   0.73176 | Score:  0
  Training |   306 | Steps:  7 | Time:  376 | Loss:   0.38485 | Score:  0
  Training |   307 | Steps: 11 | Time:  466 | Loss:   0.55037 | Score:  0
  Training |   308 | Steps: 11 | Time:  419 | Loss:   0.84461 | Score:  0
  Training |   309 | Steps: 22 | Time:  577 | Loss:   0.75323 | Score:  0
  Training |   310 | Steps: 11 | Time:  433 | Loss:   0.73229 | Score:  0
  Training |   311 | Steps: 12 | Time:  428 | Loss:   0.71306 | Score:  0
  Training |   312 | Steps:  9 | Time:  441 | Loss:   0.45770 | Score:  0
  Training |   313 | Steps:  9 | Time:  417 | Loss:   0.65873 | Score:  1
  Training |   314 | Steps:  7 | Time:  373 | Loss:   0.75882 | Score:  0
  Training |   315 | Steps:  9 | Time:  446 | Loss:   0.40003 | Score:  0
