  Training |   198 | Steps:  8 | Time:  417 | Loss:   4.34615 | Score:  0
  Training |   199 | Steps:  7 | Time:  451 | Loss:   5.06790 | Score:  0
  Training |   200 | Steps: 30 | Time:  821 | Loss:   4.23358 | Score:  0
  Training |   201 | Steps: 11 | Time:  460 | Loss:   4.62845 | Score:  0
  Training |   202 | Steps:  6 | Time:  409 | Loss:   4.73999 | Score:  1
  Training |   203 | Steps: 22 | Time:  690 | Loss:   4.68817 | Score:  0
  Training |   204 | Steps: 16 | Time:  599 | Loss:   4.49347 | Score:  0
  Training |   205 | Steps: 16 | Time:  611 | Loss:   4.29334 | Score:  0
  Training |   206 | Steps:  7 | Time:  429 | Loss:   4.70390 | Score:  0
  Training |   207 | Steps: 13 | Time:  496 | Loss:   4.57424 | Score:  1
  Training |   208 | Steps:  8 | Time:  474 | Loss:   4.15154 | Score:  0
  Training |   209 | Steps:  6 | Time:  438 | Loss:   4.69912 | Score:  0
  Training |   210 | Steps: 12 | Time:  520 | Loss:   4.67762 | Score:  0
  Training |   211 | Steps:  7 | Time:  450 | Loss:   4.33137 | Score:  0
  Training |   212 | Steps:  6 | Time:  393 | Loss:   4.84063 | Score:  0
  Training |   213 | Steps: 14 | Time:  526 | Loss:   4.60163 | Score:  0
  Training |   214 | Steps:  8 | Time:  454 | Loss:   4.64950 | Score:  1
  Training |   215 | Steps:  8 | Time:  483 | Loss:   4.59225 | Score:  0
  Training |   216 | Steps: 26 | Time:  773 | Loss:   4.60496 | Score:  0
  Training |   217 | Steps: 13 | Time:  529 | Loss:   4.44707 | Score:  0
  Training |   218 | Steps: 21 | Time:  678 | Loss:   4.34194 | Score:  0
  Training |   219 | Steps: 23 | Time:  718 | Loss:   4.32831 | Score:  0
  Training |   220 | Steps:  6 | Time:  442 | Loss:   4.48085 | Score:  1
  Training |   221 | Steps:  7 | Time:  403 | Loss:   4.89532 | Score:  0
  Training |   222 | Steps: 21 | Time:  727 | Loss:   4.50310 | Score:  0
  Training |   223 | Steps: 15 | Time:  580 | Loss:   4.50983 | Score:  0
  Training |   224 | Steps: 30 | Time: 1012 | Loss:   4.43608 | Score:  0
  Training |   225 | Steps:  8 | Time:  469 | Loss:   4.16806 | Score:  0
  Training |   226 | Steps: 14 | Time:  582 | Loss:   4.70001 | Score:  1
  Training |   227 | Steps: 12 | Time:  568 | Loss:   4.44390 | Score:  1
  Training |   228 | Steps: 15 | Time:  565 | Loss:   4.08762 | Score:  0
  Training |   229 | Steps: 10 | Time:  460 | Loss:   5.10887 | Score:  0
  Training |   230 | Steps: 16 | Time:  592 | Loss:   4.62454 | Score:  0
  Training |   231 | Steps: 40 | Time: 1046 | Loss:   4.28231 | Score:  0
  Training |   232 | Steps: 30 | Time:  857 | Loss:   4.31795 | Score:  0
  Training |   233 | Steps:  9 | Time:  476 | Loss:   5.07317 | Score:  0
  Training |   234 | Steps:  8 | Time:  460 | Loss:   4.72484 | Score:  0
  Training |   235 | Steps:  6 | Time:  406 | Loss:   4.22872 | Score:  0
  Training |   236 | Steps: 15 | Time:  599 | Loss:   4.94483 | Score:  0
  Training |   237 | Steps: 48 | Time: 1211 | Loss:   4.39619 | Score:  0
  Training |   238 | Steps: 15 | Time:  555 | Loss:   3.94417 | Score:  0
  Training |   239 | Steps: 14 | Time:  605 | Loss:   4.23371 | Score:  0
  Training |   240 | Steps: 14 | Time:  591 | Loss:   4.75844 | Score:  0
  Training |   241 | Steps:  7 | Time:  410 | Loss:   3.47235 | Score:  0
  Training |   242 | Steps:  6 | Time:  452 | Loss:   4.36529 | Score:  0
  Training |   243 | Steps:  6 | Time:  414 | Loss:   5.08637 | Score:  1
  Training |   244 | Steps:  6 | Time:  413 | Loss:   4.88743 | Score:  0
  Training |   245 | Steps: 15 | Time:  586 | Loss:   4.14472 | Score:  1
  Training |   246 | Steps:  6 | Time:  551 | Loss:   4.37232 | Score:  0
  Training |   247 | Steps:  7 | Time:  477 | Loss:   4.45721 | Score:  0
  Training |   248 | Steps:  8 | Time:  458 | Loss:   4.76096 | Score:  0
  Training |   249 | Steps: 22 | Time:  733 | Loss:   4.60688 | Score:  0
  Training |   250 | Steps: 10 | Time:  537 | Loss:   4.81489 | Score:  0
  Training |   251 | Steps:  6 | Time:  430 | Loss:   4.66229 | Score:  0
  Training |   252 | Steps:  6 | Time:  418 | Loss:   4.62934 | Score:  0
  Training |   253 | Steps:  6 | Time:  411 | Loss:   4.05097 | Score:  0
  Training |   254 | Steps:  7 | Time:  411 | Loss:   4.23879 | Score:  0
  Training |   255 | Steps: 11 | Time:  485 | Loss:   4.01766 | Score:  0
