  Training |   226 | Steps:  6 | Time:  507 | Loss:   0.80793 | Score:  0
  Training |   227 | Steps: 13 | Time:  735 | Loss:   0.43322 | Score:  0
  Training |   228 | Steps:  8 | Time:  586 | Loss:   0.67668 | Score:  0
  Training |   229 | Steps: 13 | Time:  746 | Loss:   0.61590 | Score:  0
  Training |   230 | Steps:  6 | Time:  515 | Loss:   0.63122 | Score:  0
  Training |   231 | Steps: 20 | Time:  965 | Loss:   0.57999 | Score:  1
  Training |   232 | Steps:  6 | Time:  537 | Loss:   0.39260 | Score:  0
  Training |   233 | Steps:  9 | Time:  586 | Loss:   0.87953 | Score:  0
  Training |   234 | Steps:  7 | Time:  561 | Loss:   0.61437 | Score:  1
  Training |   235 | Steps:  8 | Time:  582 | Loss:   0.87397 | Score:  1
  Training |   236 | Steps: 17 | Time:  869 | Loss:   0.64221 | Score:  0
  Training |   237 | Steps:  6 | Time:  511 | Loss:   0.41408 | Score:  0
  Training |   238 | Steps: 19 | Time:  956 | Loss:   0.54459 | Score:  0
  Training |   239 | Steps:  6 | Time:  486 | Loss:   0.60148 | Score:  0
  Training |   240 | Steps: 10 | Time:  620 | Loss:   0.74182 | Score:  0
  Training |   241 | Steps: 10 | Time:  636 | Loss:   0.60081 | Score:  0
  Training |   242 | Steps: 17 | Time:  941 | Loss:   0.59088 | Score:  0
  Training |   243 | Steps:  7 | Time:  529 | Loss:   0.54740 | Score:  0
  Training |   244 | Steps: 18 | Time:  953 | Loss:   0.57483 | Score:  0
  Training |   245 | Steps: 30 | Time: 1387 | Loss:   0.58696 | Score:  0
  Training |   246 | Steps: 14 | Time:  774 | Loss:   0.61428 | Score:  0
  Training |   247 | Steps:  9 | Time:  587 | Loss:   0.76214 | Score:  0
  Training |   248 | Steps:  8 | Time:  581 | Loss:   0.54596 | Score:  0
  Training |   249 | Steps:  6 | Time:  494 | Loss:   0.71417 | Score:  0
  Training |   250 | Steps: 16 | Time:  838 | Loss:   0.64772 | Score:  0
